Characteristics of Influenza-Associated Pediatric Deaths (data downloaded on 10/25/2024),,,,
SEASON,CHARACTERISTIC,GROUP,COUNT,PERCENT
2023-24,2024-02,9,9,0
2023-24,2024-03,7,7,0
2023-24,2024-04,10,10,0
2023-24,2024-05,9,9,0
2023-24,2024-06,12,12,0
2023-24,2024-07,11,11,0
2023-24,2024-08,8,8,0
2023-24,2024-09,14,14,0
2023-24,2024-10,6,6,0
2023-24,2024-11,6,6,0
2023-24,2024-12,8,8,0
2023-24,2024-13,7,7,0
2023-24,2024-14,5,5,0
2023-24,2024-15,3,3,0
2023-24,2024-16,3,3,0
2023-24,2024-17,2,2,0
2023-24,2024-18,1,1,0
2023-24,2024-19,0,0,0
2023-24,2024-20,1,1,0
2023-24,2024-21,1,1,0
2023-24,2024-22,0,0,0
2023-24,2024-23,0,0,0
2023-24,2024-24,0,0,0
2023-24,2024-25,0,0,0
2023-24,2024-26,0,0,0
2023-24,2024-27,0,0,0
2023-24,2024-28,0,0,0
2023-24,2024-29,0,0,0
2023-24,2024-30,0,0,0
2023-24,2024-31,1,1,0
2023-24,2024-32,0,0,0
2023-24,2024-33,1,1,0
2023-24,2024-34,0,0,0
2023-24,2024-35,0,0,0
2023-24,2024-36,0,0,0
2023-24,2024-37,0,0,0
2023-24,2024-38,0,0,0
2023-24,2024-39,1,0,1
